0,Imagen,Nombre,Desc (ES),Desc (EN),Count,Points,Points A,Points B,Points C,Points D,Points E
81,,Polymo,"Polymo es una criatura tranquila, amable y muy sensible a las emociones de quienes lo rodean. Gracias a sus muchos ojos, puede observar pequeños detalles y comprender cómo se sienten los demás sin necesidad de palabras. Le encanta pasar tiempo en lugares tranquilos, escuchar música suave y compartir historias positivas. Siempre intenta ayudar a sus amigos con paciencia, respeto y comprensión, creando un ambiente seguro donde todos pueden expresarse libremente y sentirse aceptados.","Polymo is a calm, kind, and emotionally sensitive creature that easily understands how others feel. With its many eyes, it notices small details and reads emotions without needing words. It loves spending time in peaceful places, listening to soft music, and sharing positive stories. Polymo always helps friends with patience, respect, and empathy, creating a safe space where everyone can express themselves freely and feel accepted.",435,2,,2,,,
82,,Celunox,"Celunox es un monstruo valiente y divertido que vuela por los cielos nocturnos guiado por la luz de la luna. Sus alas doradas iluminan el camino de los viajeros perdidos, mientras su risa contagiosa llena el aire de esperanza. Le encanta vivir aventuras, proteger a sus amigos y demostrar que la alegría y el coraje pueden vencer cualquier oscuridad.","Celunox is a brave and fun monster who flies through the night skies guided by the light of the moon. His golden wings light the way for lost travelers, while his contagious laughter fills the air with hope. He loves living adventures, protecting his friends, and showing that joy and courage can overcome any darkness.",319,1,,,2,,
83,,Velmii,"Velmii es una criatura curiosa, expresiva y llena de imaginación que disfruta explorar su entorno con confianza y creatividad. Le encanta aprender nuevas formas de comunicarse, compartir ideas y apoyar a sus amigos cuando lo necesitan. Aunque a veces parece pensativa, siempre está dispuesta a escuchar y comprender diferentes puntos de vista. Velmii valora la honestidad, el respeto y la cooperación, y cree que cada persona tiene algo especial que ofrecer. Su presencia transmite seguridad, empatía y alegría tranquila.","Velmii is a curious, expressive, and imaginative creature that enjoys exploring its surroundings with confidence and creativity. It loves learning new ways to communicate, sharing ideas, and supporting friends whenever they need help. Even when it seems thoughtful, it is always ready to listen and understand different perspectives. Velmii values honesty, respect, and cooperation, and believes everyone has something special to offer. Its presence brings calm joy, empathy, and a sense of safety.",498,2,3,,,,
84,,Didoff,"Didoff es un bichito pequeño y vivaz, siempre atento a lo que ocurre a su alrededor. Su expresión pensativa le da un encanto especial, como si estuviera ideando su próxima travesura inocente. Sus colores cálidos y su forma redondeada lo hacen ver amistoso, curioso y fácil de querer.","Didoff is a small, lively creature with a naturally curious spirit. Its thoughtful expression makes it look like it’s always dreaming up ideas or playful mischief. Warm colors and a rounded shape give it a friendly, approachable charm.",457,3,,,3,,
85,,Recrami,"RecRami es una criatura rojiza y regordeta con grandes orejas circulares en forma de espiral. Sus enormes ojos negros reflejan timidez y curiosidad. Emite pequeños suspiros que suenan como burbujas explotando.
Es muy tímido y suele esconderse cuando alguien se acerca, pero si ganas su confianza, te seguirá a todas partes con sus patitas torpes. Le encanta coleccionar objetos brillantes que guarda en su pequeña boca.","RecRami is a reddish and chubby creature with large circular ears shaped like spirals. Its huge black eyes reflect shyness and curiosity. It emits small sighs that sound like bubbles popping.
It is very shy and usually hides when someone approaches, but if you gain its trust, it will follow you everywhere with its clumsy little legs. It loves collecting shiny objects that it keeps in its small mouth.",320,2,,,,,2
86,,Aeliro,"Aeliro es una criatura alegre, curiosa y llena de energía positiva que disfruta volar suavemente entre nubes, árboles y sueños. Le encanta conocer nuevos amigos, aprender sobre diferentes lugares y compartir momentos felices. Siempre muestra respeto por la naturaleza y por quienes lo rodean, ayudando a crear un ambiente tranquilo y seguro. Aeliro cree en la cooperación, la amabilidad y la imaginación, y usa su creatividad para resolver pequeños retos con paciencia y optimismo.","Aeliro is a joyful, curious, and positive creature that loves flying gently among clouds, trees, and dreams. It enjoys meeting new friends, learning about different places, and sharing happy moments. It always shows respect for nature and others, helping to create a calm and safe environment. Aeliro believes in cooperation, kindness, and imagination, using creativity to solve small challenges with patience and optimism.",423,2,,,,2,
87,,Purmo,"Purmo es una criatura tranquila, amable y muy atenta que disfruta observar el mundo con curiosidad y respeto. Gracias a sus tres ojos, puede notar pequeños detalles y comprender mejor a quienes lo rodean. Le encanta escuchar historias, aprender cosas nuevas y compartir momentos relajados con sus amigos. Siempre intenta mantener un ambiente positivo donde todos se sientan seguros, valorados y escuchados. Purmo cree en la paciencia, la cooperación y la importancia de ser amable consigo mismo y con los demás.","Purmo is a calm, kind, and thoughtful creature that enjoys observing the world with curiosity and respect. Thanks to its three eyes, it notices small details and understands others better. It loves listening to stories, learning new things, and sharing relaxed moments with friends. Purmo always tries to keep a positive environment where everyone feels safe, valued, and heard. It believes in patience, cooperation, and the importance of being kind to oneself and others.",472,1,,,,,1
88,,Plurbi,"Plurbi es una criatura alegre, expresiva y muy sociable que disfruta compartir momentos divertidos con quienes lo rodean. Gracias a su energía positiva, logra animar a sus amigos incluso en los días más tranquilos. Le encanta contar historias, inventar juegos y aprender nuevas habilidades. Plurbi cree en la importancia de la amistad, la cooperación y el respeto, y siempre busca crear un ambiente donde todos se sientan incluidos, valorados y felices. Su risa contagiosa transmite confianza, optimismo y calidez.","Plurbi is a cheerful, expressive, and very social creature that loves sharing fun moments with those around it. Thanks to its positive energy, it can lift its friends’ spirits even on quiet days. It enjoys telling stories, creating games, and learning new skills. Plurbi believes in friendship, cooperation, and respect, and always tries to build an environment where everyone feels included, valued, and happy. Its contagious laughter brings warmth, optimism, and confidence.",476,2,,,,,2
89,,Mixolynx,"Mixolynx es la contraparte nocturna y misteriosa de Chefairy. Su pelaje es de un color violeta oscuro, ideal para camuflarse en las sombras, contrastado por un lujoso collar de pelaje color ámbar o mandarina. Mientras que Chefairy lleva agua o leche dulce, Mixolynx siempre sostiene un vaso con un líquido anaranjado burbujeante y ácido. Su mirada es más astuta y analítica.","Mixolynx is the nocturnal and mysterious counterpart to Chefairy. Its fur is a deep violet color, ideal for camouflaging in the shadows, contrasted by a luxurious amber or tangerine-colored fur collar. While Chefairy carries water or sweet milk, Mixolynx always holds a glass with a bubbling, acidic orange liquid. Its gaze is more astute and analytical.",354,1,,,2,,
90,,Hantix,"Hantix vivía en una cueva luminosa al borde del Valle Chispeante. Tenía tres ojos rojos que lo ayudaban a ver el pasado, el presente y… casi siempre el futuro. Una mañana, uno de sus ojos empezó a parpadear sin parar. ¡Algo andaba mal!
Hantix salió corriendo y descubrió que los colores del valle estaban desapareciendo. Con un gruñido valiente, concentró sus tres miradas y lanzó un rayo dorado que devolvió la luz al lugar.
Desde ese día, el valle supo que siempre estaría protegido.","Hantix lived in a luminous cave on the edge of Sparkling Valley. He had three red eyes that helped him see the past, the present, and… almost always the future. One morning, one of his eyes began to blink incessantly. Something was wrong! Hantix ran outside and discovered that the valley's colors were fading. With a brave growl, he focused all three of his eyes and unleashed a golden beam that restored light to the valley. From that day on, the valley knew it would always be protected.",490,3,,3,,,
91,,Roddix,"Roddix es un monstruo naranja brillante formado por tres cabezas cuadradas unidas por antenas retorcidas. Cada cabeza tiene su propio carácter, y aunque discuten constantemente, siempre acaban riendo juntas.
Es increíblemente inquieto y le encanta gastar bromas inocentes a quien se cruce en su camino. Aunque su naturaleza traviesa puede resultar abrumadora, jamás tiene malas intenciones. Su energía desbordante transforma cualquier lugar aburrido en pura diversión.","Roddix is a bright orange monster made up of three square heads connected by twisted antennas. Each head has its own personality, and although they constantly argue, they always end up laughing together.
He is incredibly restless and loves playing innocent pranks on anyone who crosses his path. Although his mischievous nature can be overwhelming, he never has bad intentions. His overflowing energy transforms any boring place into pure fun.",390,2,2,,,,
92,,Kittchu,"Kittchu vive entre arbustos rojos y colinas azules, donde todo olía a aventura. Aunque parecía tranquilo, tenía una cola poderosa que usaba para saltar enormes distancias.
Un día, escuchó un chillido lejano: una luciérnaga gigante había quedado atrapada entre rocas. Kittchu no dudó. Cavó con sus patitas, empujó con la cola y logró liberarla. La luciérnaga iluminó el cielo en agradecimiento, pintándolo de rojo y azul.
Desde entonces, todos supieron que Kittchu, aunque pequeño, tenía un corazón enorme.","Kittchu lives among red bushes and blue hills, where everything smelled of adventure. Although he seemed calm, he had a powerful tail that he used to jump enormous distances.
One day, he heard a distant chirp: a giant firefly had become trapped between rocks. Kittchu didn't hesitate. He dug with his little paws, pushed with his tail, and managed to free it. The firefly lit up the sky in gratitude, painting it red and blue.
From then on, everyone knew that Kittchu, though small, had a huge heart.",500,3,,,3,,
93,,Devilin,"Devilin era pequeño, travieso y siempre lllevaba una sonrisa pícara. Vivía en cuevas de cristal rojo, donde las sombras bailaban con la luz de las llamas. Aunque sus cuernos asustaban a algunos, sus alas brillantes delataban un corazon puro. 
Una noche, vio a un viajero perdido entre la niebla oscura. Podría haberle jugado una broma, pero en lugar de eso, usó el brillo de sus alas para iluminarle el camino hasta un refugio seguro. El viajero nunca olvidó al pequeño con sus cuernos que lo salvó.
Desde entonces, todos supieron que Devilin, aunque pareciera un diablillo, tenia un alma noble.","Devilin was small, mischievous, and always wore a playful smile. He lived in caves of red crystal, where shadows danced with the light of flames. Although his horns scared some, his bright wings revealed a pure heart.
One night, he saw a traveler lost in thick darkness. He could have played a prank on them, but instead, he used the glow of his wings to light their way to a safe shelter. The traveler never forgot the little horned creature who saved them.
Since then, everyone knew that Devilin, although he seemed like a little devil, had a noble soul.",489,2,,,,,2
94,,Rocter,"Rocter vive en nidos de ramas doradas, bajo el cielos que cambiaban de color al amanecer. Aunque apenas podia volar, sus saltos eran tan altos que que parecía flotar. 
Una mañana, encontró un huevo perdido rodando hacia un precipicio. Rocter corrió con sus patitas, aleteó con todas sus fuerzas y logró detenerlo justo a tiempo. Del huevo nació otro pequeño como él, que lo miró como a un héroe. 
Desde entonces, todos supieron que Rocter, aunque torpe al volar, tenía el coraje de un gran guardián.","Rocter lives in nests of golden branches, under skies that changed colors at dawn. Although he could barely fly, his jumps were so high that he seemed to float. 
One morning, he found a lost egg rolling toward a cliff. Rocter ran with his little legs, flapped with all his strength, and managed to stop it just in time. From the egg hatched another small one like him, who looked at him as a hero.
Since then, everyone knew that Rocter, though clumsy at flying, had the courage of a great guardian.",498,2,,2,,,
95,,Puccina,"Puccina es una criaturita tranquila y observadora, siempre moviéndose con pasos suaves y mirada curiosa. Su forma redondeada y su expresión calmada le dan un aire tierno y algo tímido. Le encanta quedarse cerca de quienes le inspiran confianza, absorbiendo cada detalle a su alrededor.","Puccina is a gentle, observant little creature with a soft, rounded shape and bright, curious eyes. It tends to move quietly, taking in everything around it with calm interest. Its shy nature gives it a sweet, approachable charm.",229,1,,,,1,
96,,Puccia,"Puccia, ya evolucionado, muestra mucha más energía y expresividad, moviéndose con entusiasmo y saludando sin miedo. Sus ojos brillan con determinación, como si estuviera listo para cualquier aventura. Mantiene su dulzura, pero ahora con un toque de valentía que lo hace destacar.","Puccia, now evolved, shows much more confidence and liveliness, greeting the world with expressive energy. Its eyes shine with excitement, ready for new experiences and friendly encounters. It keeps its gentle heart, but now with a bold spark that makes it stand out.",267,2,,,,2,
97,,Kiro,"Kiro es una criaturita alegre con un aire acuático que transmite calma y simpatía. Su sonrisa suave y sus rasgos redondeados le dan un encanto muy tierno. Allí donde aparece, aporta una sensación de frescura y tranquilidad juguetona.","Kiro is a cheerful little creature with a calm, watery vibe that makes it instantly endearing. Its gentle smile and soft features give it a peaceful, friendly presence. Wherever it goes, it brings a sense of lightness and playful serenity.",350,3,,,,3,
98,,Nublon,"Nublon es un monstruito alegre y saltarín que siempre parece estar en movimiento, como si cada paso fuera parte de un baile divertido. Su gran ojo curioso observa todo con entusiasmo, descubriendo el mundo con una mezcla de sorpresa y emoción. Con sus colores vivos y su energía juguetona, transmite una simpatía irresistible que lo convierte en un compañero encantador y lleno de vida.","Nublon is a cheerful, bouncy little monster who’s always moving as if every step were part of a playful dance. Its big, curious eye takes in the world with excitement, discovering everything with wonder. With its bright colors and lively energy, it gives off an irresistible charm that makes it a fun, lovable companion.",400,2,,,2,,
99,,Rekat,"ReKat es una criatura negra como la noche con largas patas de araña y penetrantes ojos verdes que brillan en la oscuridad. Lleva un extraño sombrero redondo en lo alto de su cabeza que nunca se cae, sin importar cuán rápido se mueva.
Es sigiloso y elegante, deslizándose en silencio por paredes y techos. Aunque su apariencia inquieta a muchos, es simplemente curioso y observador. Le fascina vigilar a otros desde las sombras, apareciendo y desapareciendo sin hacer ruido. Cuando está contento, sus ojos verdes parpadean suavemente.","ReKat is a creature as black as night with long spider legs and piercing green eyes that glow in the darkness. It wears a strange round hat on top of its head that never falls off, no matter how fast it moves.

It is stealthy and elegant, gliding silently across walls and ceilings. Although its appearance unsettles many, it is simply curious and observant. It loves watching others from the shadows, appearing and disappearing without a sound. When it's happy, its green eyes blink softly.",413,3,,3,,,
100,,Shinbat,"Shinbat es un murciélago pequeño y vivaz que revolotea con energía, mostrando unos ojos amarillos llenos de curiosidad, unas alas coloridas que lo acompañan en vuelos juguetones y un aire travieso pero dulce que lo convierte en una criaturita encantadora y muy fácil de querer.","Shinbat is a small, lively bat who flutters through the air with bright yellow eyes full of curiosity, colorful wings that guide its playful flights, and a mischievous yet gentle charm that makes it an irresistibly friendly little creature.",359,2,,,,,2
